"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",30.2,30.4,27.4,23.9,30.3,,30.5
"d301",82.6,86.1,83.6,84,75.9,,75.9
"d322",55.2,63.4,64.1,58.6,57.7,,56.7
"d323",39,40.1,50.7,51.4,52.8,,51.8
"d315",56,66.9,62.6,66.6,63.8,,62
"d324",64.8,55.5,60.5,57.4,71.5,,75.4
"d216",51.1,50.8,47.7,50.3,52.9,,50
"d316",46.2,54.7,51.8,51.4,47.7,,51.2
"d302",29.4,38.5,45.9,44,49.7,,54
"d303",57.9,55.2,56.9,55.5,55.5,,54.9
"d217",59.5,59.3,60.4,61.6,60.3,,58.7
"d218",70.8,72.5,69.5,71.3,72.7,,74.1
"d201",66.4,64.7,64.5,64.4,66.1,,69.2
"d420",70.8,73.5,73.4,77.9,74.7,,71.7
"d117",72.9,76.9,77.5,80.2,80.5,,80.1
"d219",51.6,55.7,51.5,50.5,55.8,,46.5
"d118",68.8,69.4,73.6,74.3,73.8,,71
"d220",70.7,72.1,72,71.2,73.5,,67.7
"d225",58.7,57.8,60,58.7,63.2,,68.8
"d416",56.4,50.5,52.6,51,56.9,,58.2
"d401",74.2,70.9,67.9,74.8,69.9,,70.5
"d402",75,77.3,77.9,77.1,79.4,,75.5
"d202",59.9,65.9,68.3,70.1,67.2,,69.8
"d221",46.3,49.1,49.4,52.5,51.1,,54.7
"d119",70.6,75.5,76.6,77.6,71.5,,74.3
"d120",64.4,56,48.8,43.8,44.5,,55.3
"d226",56.8,54.5,53.6,55.1,56.5,,55
"d317",45.2,62.8,67.5,70,78.2,,73.5
"d121",70.3,70.2,70.9,70.2,68.8,,71.6
"d304",74,72.2,75.7,74.4,79.2,,79.9
"d403",78.4,77,74.9,76,76.3,,81.3
"d417",73.4,72.9,75.3,80,74.3,,71.7
"d203",70.5,70,69.7,72.2,74.6,,69.5
"d418",59.7,61.7,62.3,64.7,63.6,,59.5
"d204",86.3,87.5,85.2,88.6,86.5,,83
"d318",28.4,24.7,28.5,27.5,29.6,,28.1
"d404",79.1,77.7,78.5,77.5,77.5,,75.6
"d405",74.3,71.8,75.4,76.5,79.2,,81.5
"d213",55.9,55.7,55.4,53.7,54.7,,57.5
"d101",89,88.9,87.7,84.3,85,,87.1
"d222",59.1,58.6,55.9,57.3,57.2,,55.6
"d122",77.5,75.6,78.3,74.1,72.1,,76.4
"d102",88.4,89.8,89.9,87.1,87.2,,86.8
"d205",69.5,62.7,62.7,63.8,67,,66.6
"d413",66.9,66.5,70,70.5,68,,66.8
"d414",73.4,72.9,71,72.5,72.5,,76.3
"d206",71.6,68.7,69.9,63.2,65.8,,70.9
"d406",69.5,69.5,69.4,68.1,66.2,,68.8
"d207",73.9,74.7,70,66.1,65.5,,62.3
"d112",71.8,71.9,82.5,75.7,74.6,,77.6
"d407",71.3,72.9,70.5,71.6,71.5,,72.3
"d103",87.2,85.7,83.9,85.8,85.1,,81.5
"d227",56.4,55.1,56.8,58.7,57.7,,60
"d419",60.4,60.2,59.3,63.9,61.9,,65
"d421",54.1,53.2,59.9,62.8,60.7,,70.9
"d408",76.4,74.3,77.3,76.3,78.4,,77.6
"d305",46.1,51,60,54.3,59.4,,64.8
"d319",53.6,52.4,58.7,62,58.2,,57.4
"d325",32.1,34.5,41.2,41.8,48.5,,54.1
"d306",41.5,44.9,41.6,43.2,44.9,,43.7
"d208",57,57.8,53.4,54.9,51.5,,57.7
"d228",60,58.1,63.8,64.8,57.4,,65.1
"d123",75,74.4,75.8,75.1,72.6,,69.2
"d422",65.8,65.9,71.4,75.5,74.8,,76.7
"d415",68.7,62.1,68.6,71.5,70.1,,74.2
"d326",55.6,56.7,59.3,58.7,59.5,,67.8
"d307",64.7,65.7,63.5,61.7,59.2,,65.9
"d229",69.5,66.9,63.5,67.4,62,,68.7
"d104",75.7,75.8,75.4,73.5,73.2,,71.6
"d124",69.2,66.7,73,70.4,74.3,,75.8
"d114",66.3,63.7,62.2,62.8,65.5,,67.2
"d223",62.5,60.4,59,58.1,57.6,,62.8
"d320",53.9,53.8,56.2,50.1,48.8,,50.5
"d105",85.6,83.4,85,85.2,85.2,,80.8
"d409",67.9,68,67,68.3,71,,76.6
"d214",67.4,65.1,69.1,66.2,68.1,,69.2
"d209",68.6,69.5,72,75.4,72.2,,75.8
"d410",77.6,78.8,77.3,79.4,78.3,,76.4
"d423",70.9,67.8,66.6,72,69.7,,70.8
"d115",77.2,78.1,81.3,82.5,81.8,,78.5
"d308",71.9,63.1,74.3,78.7,63.6,,69.3
"d309",73.7,73.8,77.8,78.2,78.4,,78.8
"d106",81,78.7,77.9,80.2,75.2,,79
"d107",66.5,65.1,65.5,70,73.3,,72.1
"d108",76,75.4,76.9,76.7,75.8,,77.7
"d311",58.9,62.7,66.7,71.6,66.3,,63.2
"d116",77,74.6,70.6,76.2,75.3,,70.2
"d109",77.4,77.7,78.1,78.7,74.9,,77.4
"d230",60,55.7,56.9,60.5,68.9,,71.8
"d224",56.7,62.4,58.8,56.9,59.6,,53.3
"d327",65.4,57.5,59.3,61.8,58.1,,57.3
"d310",56.8,53.3,52.1,52.7,50.4,,50
"d231",59,60.8,63,65.3,67.5,,64.9
"d424",83.7,85,72.5,77.3,79.1,,80.3
"d411",72,71.1,66.9,70.1,71.1,,68.3
"d328",68.8,81,68,68.1,67.6,,69.6
"d329",46.7,49.9,60.3,59.9,60.7,,65.9
"d321",42.7,52.1,55.8,61,64.6,,57.6
"d312",54.2,63.1,63.3,59.9,58.1,,60.8
"d210",61.3,64.1,67.8,63.5,68.7,,67.7
"d110",80.9,79.9,80.6,81.7,81.5,,78.4
"d425",66.6,72.6,71.8,75.4,77,,70.6
"d412",82.3,81.6,84.8,84.1,82,,81.6
"d111",69.1,67.9,79.4,70,72.2,,71.5
"d232",45.1,47.5,50.5,47.2,45.3,,50.9
"d426",77.3,73.2,71.7,74,72.2,,76.9
"d215",62.2,65,66.7,68.1,73.6,,75.3
"d211",58.3,61,62.6,63.9,63.4,,69.1
"d212",57.8,60.5,62.8,61.3,62.7,,67.4
"d113",82.7,83.6,83.9,84.3,79.4,,82.1
"d313",68.2,67.1,68.6,66.7,63.1,,62.7
"d330",59.5,55.4,51.7,53.9,53,,57
