year,country,district,finance_source,"ug_dist_ed_budget_usd
",,District_name
2014,UG,47,G,16653100,,Abim
2014,UG,37,G,21111852,,Adjumani
2014,UG,45,G,25018672,,Agago
2014,UG,86,G,29485840,,Alebtong
2014,UG,106,G,14595628,,Amolatar
2014,UG,70,G,4211408,,Amudat
2014,UG,28,G,32864344,,Amuria
2014,UG,48,G,21118352,,Amuru
2014,UG,107,G,47795028,,Apac
2014,UG,38,G,106355624,,Arua
2014,UG,29,G,29223460,,Budaka
2014,UG,30,G,26043288,,Bududa
2014,UG,16,G,45685476,,Bugiri
2014,UG,#N/A,G,14390928,,Buhweju
2014,UG,83,G,47988940,,Buikwe
2014,UG,31,G,33394976,,Bukedea
2014,UG,82,G,25824060,,Bukomansimbi
2014,UG,#N/A,G,15788092,,Bukwa
2014,UG,97,G,19461936,,Bulambuli
2014,UG,108,G,12653400,,Buliisa
2014,UG,54,G,31089096,,Bundibugyo
2014,UG,75,G,38773096,,Bushenyi
2014,UG,17,G,41165864,,Busia
2014,UG,33,G,35740652,,Butaleja
2014,UG,92,G,29443652,,Butambala
2014,UG,101,G,3523428,,Buvuma
2014,UG,96,G,29334752,,Buyende
2014,UG,49,G,24591936,,Dokolo
2014,UG,104,G,27774400,,Gomba
2014,UG,39,G,54870660,,Gulu
2014,UG,55,G,38972132,,Hoima
2014,UG,67,G,37621500,,Ibanda
2014,UG,18,G,85022384,,Iganga
2014,UG,68,G,45545600,,Isingiro
2014,UG,19,G,60869584,,Jinja
2014,UG,50,G,29090424,,Kaabong
2014,UG,56,G,99920844,,Kabale
2014,UG,57,G,50121384,,Kabarole
2014,UG,26,G,26990784,,Kaberamaido
2014,UG,#N/A,G,7854788,,Kalangala 
2014,UG,34,G,36073708,,Kaliro
2014,UG,80,G,35947532,,Kalungu
2014,UG,2,G,0,,Kampala
2014,UG,95,G,72300116,,Kamuli
2014,UG,64,G,41730356,,Kamwenge
2014,UG,65,G,43056148,,Kanungu
2014,UG,112,G,24084816,,Kapchorwa
2014,UG,58,G,87441824,,Kasese
2014,UG,20,G,23940352,,Katakwi
2014,UG,11,G,51579080,,Kayunga
2014,UG,59,G,63464328,,Kibaale
2014,UG,3,G,24296772,,Kiboga
2014,UG,90,G,25841392,,Kibuku
2014,UG,69,G,27443576,,Kiruhura
2014,UG,110,G,23222776,,Kiryandongo
2014,UG,60,G,42130268,,Kisoro
2014,UG,40,G,41409020,,Kitgum
2014,UG,51,G,25364628,,Koboko
2014,UG,88,G,30945300,,Kole
2014,UG,41,G,11286892,,Kotido
2014,UG,21,G,29993604,,Kumi
2014,UG,98,G,13141256,,Kween
2014,UG,91,G,24513200,,Kyankwanzi
2014,UG,66,G,17995044,,Kyegegwa
2014,UG,84,G,37793636,,Kyenjojo
2014,UG,71,G,19522564,,Lamwo
2014,UG,87,G,52288080,,Lira
2014,UG,81,G,35970960,,Luuka
2014,UG,#N/A,G,86811128,,Luweero
2014,UG,102,G,41447060,,Lwengo
2014,UG,13,G,12250124,,Lyantonde
2014,UG,35,G,58186220,,Manafwa
2014,UG,52,G,29104776,,Maracha
2014,UG,#N/A,G,30439828,,Masaka 
2014,UG,109,G,21932496,,Masindi
2014,UG,27,G,51608992,,Mayuge
2014,UG,22,G,64040096,,Mbale
2014,UG,61,G,67603556,,Mbarara
2014,UG,78,G,35319980,,Mitooma
2014,UG,14,G,45842232,,Mityana
2014,UG,73,G,12724888,,Moroto
2014,UG,42,G,23916952,,Moyo
2014,UG,103,G,37028152,,Mpigi
2014,UG,6,G,59386644,,Mubende
2014,UG,7,G,63501872,,Mukono
2014,UG,44,G,20105220,,Nakapiripirit
2014,UG,15,G,32567692,,Nakaseke
2014,UG,8,G,27955004,,Nakasongola
2014,UG,#N/A,G,21208740,,Namayingo
2014,UG,36,G,33567464,,Namutumba
2014,UG,85,G,10678124,,Napak
2014,UG,43,G,46033668,,Nebbi
2014,UG,94,G,26853716,,Ngora
2014,UG,99,G,9834120,,Ntoroko
2014,UG,62,G,71347152,,Ntungamo
2014,UG,72,G,17333144,,Nwoya
2014,UG,105,G,16386868,,Otuke
2014,UG,53,G,51026708,,Oyam
2014,UG,#N/A,G,30244028,,Pader 
2014,UG,23,G,49308416,,Pallisa
2014,UG,9,G,80193860,,Rakai
2014,UG,#N/A,G,15181908,,Rubirizi
2014,UG,63,G,52936284,,Rukungiri
2014,UG,#N/A,G,42454620,,Sembabule
2014,UG,93,G,30908256,,Serere
2014,UG,#N/A,G,47699316,,Sheema
2014,UG,111,G,39332344,,Sironko
2014,UG,24,G,37404056,,Soroti
2014,UG,25,G,70278336,,Tororo
2014,UG,12,G,109574220,,Wakiso
2014,UG,46,G,41012992,,Yumbe
2014,UG,89,G,25379540,,Zombo
2014,UG,#N/A,G,14194804,,Arua Municipal Council
2014,UG,#N/A,G,13145392,,Entebbe Municipal Council
