"id","entity-name","year","value"
"d101","Kalangala",2014,2.5
"d102","Kampala",2014,3.5
"d103","Kiboga",2014,4.2
"d104","Luwero",2014,4.2
"d105","Masaka",2014,3.8
"d106","Mpigi",2014,4.1
"d107","Mubende",2014,4.4
"d108","Mukono",2014,4
"d109","Nakasongola",2014,4.8
"d110","Rakai",2014,4.4
"d111","Ssembabule",2014,4.5
"d112","Kayunga",2014,4.7
"d113","Wakiso",2014,3.9
"d114","Lyantonde",2014,4.5
"d115","Mityana",2014,4
"d116","Nakaseke",2014,4.2
"d117","Buikwe",2014,4.2
"d118","Bukomansimbi",2014,4.3
"d119","Butambala",2014,4.6
"d120","Buvuma",2014,3.4
"d121","Gomba",2014,4.5
"d122","Kalungu",2014,4.3
"d123","Kyankwanzi",2014,4.4
"d124","Lwengo",2014,4.4
"d201","Bugiri",2014,5.1
"d202","Busia",2014,4.9
"d203","Iganga",2014,4.9
"d204","Jinja",2014,4.4
"d205","Kamuli",2014,5.2
"d206","Kapchorwa",2014,4.8
"d207","Katakwi",2014,5.3
"d208","Kumi",2014,5.8
"d209","Mbale",2014,4.4
"d210","Pallisa",2014,5.7
"d211","Soroti",2014,5.3
"d212","Tororo",2014,5
"d213","Kaberamaido",2014,5.5
"d214","Mayuge",2014,4.9
"d215","Sironko",2014,4.4
"d216","Amuria",2014,5.6
"d217","Budaka",2014,5.6
"d218","Bududa",2014,5.7
"d219","Bukedea",2014,5.7
"d220","Bukwo",2014,5.3
"d221","Butaleja",2014,5.5
"d222","Kaliro",2014,5.4
"d223","Manafwa",2014,4.8
"d224","Namutumba",2014,5.7
"d225","Bulambuli",2014,5.2
"d226","Buyende",2014,5.3
"d227","Kibuku",2014,5.6
"d228","Kween",2014,5.2
"d229","Luuka",2014,5.3
"d230","Namayingo",2014,4.9
"d231","Ngora",2014,6
"d232","Serere",2014,5.9
"d301","Adjumani",2014,5.5
"d302","Apac",2014,5.1
"d303","Arua",2014,5.3
"d304","Gulu",2014,5
"d305","Kitgum",2014,5.1
"d306","Kotido",2014,6.3
"d307","Lira",2014,4.5
"d308","Moroto",2014,4.4
"d309","Moyo",2014,5.3
"d310","Nebbi",2014,5.1
"d311","Nakapiripirit",2014,5.7
"d312","Pader",2014,5.2
"d313","Yumbe",2014,7.5
"d314","Abim",2014,5.9
"d315","Amolatar",2014,5.2
"d316","Amuru",2014,5
"d317","Dokolo",2014,5.2
"d318","Kaabong",2014,5.6
"d319","Koboko",2014,6.7
"d320","Maracha",2014,5.1
"d321","Oyam",2014,5
"d322","Agago",2014,5.2
"d323","Alebtong",2014,4.9
"d324","Amudat",2014,6.2
"d325","Kole",2014,4.9
"d326","Lamwo",2014,4.9
"d327","Napak",2014,5.3
"d328","Nwoya",2014,5
"d329","Otuke",2014,4.7
"d330","Zombo",2014,4.7
"d401","Bundibugyo",2014,5
"d402","Bushenyi",2014,4.4
"d403","Hoima",2014,4.5
"d404","Kabale",2014,4.4
"d405","Kabarole",2014,4.3
"d406","Kasese",2014,4.9
"d407","Kibaale",2014,4.7
"d408","Kisoro",2014,4.5
"d409","Masindi",2014,4.4
"d410","Mbarara",2014,4.1
"d411","Ntungamo",2014,4.7
"d412","Rukungiri",2014,4.5
"d413","Kamwenge",2014,4.6
"d414","Kanungu",2014,4.5
"d415","Kyenjojo",2014,4.6
"d416","Buliisa",2014,5
"d417","Ibanda",2014,4.5
"d418","Isingiro",2014,4.7
"d419","Kiruhura",2014,4.8
"d420","Buhweju",2014,4.8
"d421","Kiryandongo",2014,5
"d422","Kyegegwa",2014,4.7
"d423","Mitooma",2014,4.6
"d424","Ntoroko",2014,4.8
"d425","Rubirizi",2014,4.4
"d426","Sheema",2014,4.4
