"id","value.1990","original-value.1990","value.1991","original-value.1991","value.1992","original-value.1992","value.1993","original-value.1993","value.1994","original-value.1994","value.1995","original-value.1995","value.1996","original-value.1996","value.1997","original-value.1997","value.1998","original-value.1998","value.1999","original-value.1999","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",,,,,,,,,,,,,6336.066,6336.066,8992.6245,,11649.183,,14305.7415,,16962.3,,19618.8585,,22275.417,22275.417,19126.343,,15977.269,15977.269,13167.986,13167.986,10720.3633333333,,8272.74066666667,,5825.118,5825.118,7590.77175,,9356.4255,,11122.07925,,12887.733,12887.733,,
"AM",,,,,,,,,,,,,555349.375,555349.375,543074.327333333,,530799.279666667,,518524.232,518524.232,547357.35,,576190.468,576190.468,441815.29,441815.29,324248.218,324248.218,229949.552,229949.552,127229.497,127229.497,95192.279,95192.279,100759.023,100759.023,41982.581,41982.581,46303.202,46303.202,74087.4,74087.4,72620.94,72620.94,51958.918,51958.918,,
"AO",,,,,,,,,,,,,,,,,,,,,7562629.483,7562629.483,7634391.55211111,,7706153.62122222,,7777915.69033333,,7849677.75944444,,7921439.82855556,,7993201.89766667,,8064963.96677778,,8136726.03588889,,8208488.105,8208488.105,,,,,,,,
"AR",,,320829.382,320829.382,593318.213,593318.213,696219.914,696219.914,663907.32,663907.32,1348043.602,1348043.602,1505775.789,1505775.789,1345542.331,1345542.331,1440762.746,1440762.746,1533611.436,1533611.436,1867295.19,1867295.19,3075052.283,3075052.283,4733545.161,4733545.161,3417336.99,3417336.99,2409622.199,2409622.199,1785530.855,1785530.855,1465983.505,1465983.505,1183873.846,1183873.846,1087124.674,1087124.674,1072633.579,1072633.579,698474.075,698474.075,574275.206,574275.206,,,,
"AZ",,,,,,,,,,,1938925.5,1938925.5,1700533.29,,1462141.08,,1223748.87,,985356.66,,746964.45,,508572.24,508572.24,1634.39,1634.39,3293.64,3293.64,0,0,0,0,9055.51333333333,,18111.0266666667,,27166.54,27166.54,,,,,,,,,,
"BA",,,,,,,,,,,,,,,,,,,,,,,10862.188,10862.188,8537.033,,6211.878,,3886.723,3886.723,3106.97066666667,,2327.21833333333,,1547.466,1547.466,,,,,,,,,,,,
"BD",,,,,78949025.73,78949025.73,77850365.735,,76751705.74,,75653045.745,,74554385.75,74554385.75,75306628.0525,,76058870.355,,76811112.6575,,77563354.96,77563354.96,76498749.038,,75434143.116,,74369537.194,,73304931.272,,72240325.35,72240325.35,70864613.868,,69488902.386,,68113190.904,,66737479.422,,65361767.94,65361767.94,,,,,,
"BF",,,,,,,,,6986464.256,6986464.256,7160042.07975,,7333619.9035,,7507197.72725,,7680775.551,7680775.551,7382679.0516,,7084582.5522,,6786486.0528,,6488389.5534,,6190293.054,6190293.054,6277114.59966667,,6363936.14533333,,6450757.691,,6537579.23666667,,6624400.78233333,,6711222.328,6711222.328,,,,,,,,
"BG",,,,,0,0,9287.95,,18575.9,18575.9,68929.749,68929.749,47764.1835,,26598.618,26598.618,62456.458,,98314.298,,134172.138,,170029.978,170029.978,109268.0155,,48506.053,48506.053,41284.0095,,34061.966,,26839.9225,,19617.879,19617.879,54695.695,54695.695,87991.7595,,121287.824,121287.824,139618.232,139618.232,,,,
"BI",,,,,4955568.79,4955568.79,5058427.81,,5161286.83,,5264145.85,,5367004.87,,5469863.89,,5572722.91,5572722.91,5693660.701625,,5814598.49325,,5935536.284875,,6056474.0765,,6177411.868125,,6298349.65975,,6419287.451375,,6540225.243,6540225.243,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,,,,,,,,,,,,3628166.817,3628166.817,3801389.09311111,,3974611.36922222,,4147833.64533333,,4321055.92144444,,4494278.19755556,,4667500.47366667,,4840722.74977778,,5013945.02588889,,5187167.302,5187167.302,,
"BO",,,364532.966,364532.966,492572.783,,620612.6,620612.6,804147.6665,,987682.733,,1171217.7995,,1354752.866,1354752.866,1647769.206,,1940785.546,1940785.546,2282679.318,2282679.318,1849111.778,1849111.778,1943768.33,1943768.33,1508899.9695,,1074031.609,1074031.609,1712847.218,1712847.218,1509458.847,1509458.847,1179559.986,1179559.986,1030613.47,1030613.47,1066296.42,1066296.42,892955.1185,,719613.817,719613.817,837603.543,837603.543,,
"BR",24287925.74,24287925.74,25052894.62,,25817863.5,25817863.5,24917666.49,24917666.49,20496712.26,,16075758.03,16075758.03,18428390.62,18428390.62,18194874.81,18194874.81,16235450.84,16235450.84,16977027.93,16977027.93,17513892.42,,18050756.91,18050756.91,15912227.22,15912227.22,17484633.89,17484633.89,14978437.04,14978437.04,13365024.54,13365024.54,11156364.88,11156364.88,11095823.4,11095823.4,9338983.113,9338983.113,9132771.518,9132771.518,9026966.544,,8921161.57,8921161.57,7449600.713,7449600.713,,
"BT",,,,,,,,,,,,,,,,,,,,,,,,,,,147685.367,147685.367,128121.801,,108558.235,,88994.669,,69431.103,69431.103,59075.9552,,48720.8074,,38365.6596,,28010.5118,,17655.364,17655.364,,
"BW",,,,,,,,,482461.34,482461.34,478456.951888889,,474452.563777778,,470448.175666667,,466443.787555556,,462439.399444444,,458435.011333333,,454430.623222222,,450426.235111111,,446421.847,446421.847,415639.036166667,,384856.225333333,,354073.4145,,323290.603666667,,292507.792833333,,261724.982,261724.982,,,,,,,,
"BY",,,,,,,2047.8,2047.8,19373.1,,36698.4,36698.4,52658.8,,68619.2,,84579.6,84579.6,38133,38133,26013,26013,11913.6,11913.6,46365.5,46365.5,48985,48985,5838,5838,5797.8,5797.8,4802,4802,0,0,0,0,950.7,950.7,0,0,0,0,,,,
"BZ",,,,,,,18036.378,18036.378,18069.676,18069.676,29036.769,29036.769,20515.425,20515.425,27201.258,27201.258,25456.887,25456.887,28310.106,28310.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48764283.09,48764283.09,,,,,,,,,,,,,,
"CF",,,,,2536731.054,2536731.054,2523468.39045455,,2510205.72690909,,2496943.06336364,,2483680.39981818,,2470417.73627273,,2457155.07272727,,2443892.40918182,,2430629.74563636,,2417367.08209091,,2404104.41854545,,2390841.755,2390841.755,2438573.824,,2486305.893,,2534037.962,,2581770.031,,2629502.1,2629502.1,,,,,,,,,,
"CG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916691.047,1916691.047,1828369.6765,,1740048.306,,1651726.9355,,1563405.565,,1475084.1945,,1386762.824,1386762.824,,,,
"CI",,,,,,,3540458.586,3540458.586,3269457.2865,,2998455.987,2998455.987,3545704.952,,4092953.917,,4640202.882,4640202.882,4716602.4475,,4793002.013,,4869401.5785,,4945801.144,4945801.144,5187887.523,,5429973.902,,5672060.281,,5914146.66,,6156233.039,,6398319.418,6398319.418,,,,,,,,,,
"CL",648803.963,648803.963,512180.826,,375557.689,375557.689,404400.916,,433244.143,433244.143,377907.6245,,322571.106,322571.106,336125.4975,,349679.889,349679.889,341747.486,,333815.083,333815.083,314785.016333333,,295754.949666667,,276724.883,276724.883,243349.412333333,,209973.941666667,,176598.471,176598.471,190230.357666667,,203862.244333333,,217494.131,217494.131,180577.129,,143660.127,143660.127,,,,
"CM",,,,,,,,,,,,,6790528.911,6790528.911,6245367.0056,,5700205.1002,,5155043.1948,,4609881.2894,,4064719.384,4064719.384,4266077.544,,4467435.704,,4668793.864,,4870152.024,,5071510.184,,5272868.344,5272868.344,,,,,,,,,,,,
"CN",689397850.5,689397850.5,675056680.333333,,660715510.166667,,646374340,646374340,582663541.666667,,518952743.333333,,455241945,455241945,453822830,,452403715,,450984600,450984600,420416480,,389848360,,359280240,359280240,308052374.666667,,256824509.333333,,205596644,205596644,191551905,,177507166,,163462427,163462427,143198758.25,,122935089.5,122935089.5,84142538,84142538,,,,
"CO",,,2777705.995,2777705.995,2176853.956,2176853.956,2842814.497,,3508775.038,,4174735.579,,4840696.12,4840696.12,5343157.349,,5845618.578,,6348079.807,6348079.807,7121790.144,7121790.144,7243774.533,7243774.533,4591496.266,4591496.266,4329570.073,4329570.073,3831738.832,3831738.832,3398582.846,3398582.846,4840087.248,4840087.248,3933657.676,3933657.676,3838008.145,3838008.145,3325265.929,3325265.929,2865644.037,2865644.037,2330400.204,2330400.204,2685759.24,2685759.24,,
"CR",260137.56,260137.56,305814.365,305814.365,262565.722,262565.722,228217.952,228217.952,195130.563,195130.563,209039.64,209039.64,250375.671,250375.671,193875.06,193875.06,158274.687,158274.687,208606.156,208606.156,218485.093,218485.093,221143.189,221143.189,225161.2,225161.2,225241.83,225241.83,205947.296,205947.296,154228.641,154228.641,163400.74,163400.74,91942.456,91942.456,103345.811,103345.811,131600.726,131600.726,59305,59305,64432.448,64432.448,64871.483,64871.483,,
"CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CV",,,,,,,,,,,,,,,,,,,,,,,,,96511.228,96511.228,91508.3761666667,,86505.5243333333,,81502.6725,,76499.8206666667,,71496.9688333333,,66494.117,66494.117,,,,,,,,,,
"CZ",,,,,,,0,0,4469.93766666667,,8939.87533333333,,13409.813,13409.813,11919.8337777778,,10429.8545555556,,8939.87533333333,,7449.89611111111,,5959.91688888889,,4469.93766666667,,2979.95844444444,,1489.97922222222,,0,0,7167.234,7167.234,5660.5375,,4153.841,4153.841,3133.181,3133.181,4189.764,4189.764,3148.826,3148.826,,,,
"DJ",,,,,,,,,,,,,,,,,,,,,,,,,140176.922,140176.922,,,,,,,,,,,,,,,,,,,,,,
"DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DO",,,,,351383.619,351383.619,358727.9475,,366072.276,,373416.6045,,380760.933,380760.933,408696.552,408696.552,423785.454666667,,438874.357333333,,453963.26,453963.26,323814.166,323814.166,470888.255,470888.255,583285.747,583285.747,720938.559,720938.559,502672.876,502672.876,400973.079,400973.079,357678.558,357678.558,326631.533,326631.533,295539.524,295539.524,224376.253,224376.253,257748.989,257748.989,231223.973,231223.973,,
"DZ",,,,,,,,,,,1870326.539,1870326.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EE",,,,,,,11803.611,11803.611,7697.598,,3591.585,3591.585,2625.416,,1659.247,,693.078,693.078,4537.494,,8381.91,8381.91,7912.256,7912.256,7862.295,7862.295,5071.664,5071.664,7413.022,,9754.38,9754.38,9831.713,9831.713,6301.196,6301.196,6016.905,6016.905,7873.639,7873.639,10784.948,10784.948,13008.902,13008.902,,,,
"EG",,,2559486.469,2559486.469,2353237.2478,,2146988.0266,,1940738.8054,,1734489.5842,,1528240.363,1528240.363,1445448.342,,1362656.321,,1279864.3,,1197072.279,1197072.279,1282092.9278,,1367113.5766,,1452134.2254,,1537154.8742,,1622175.523,1622175.523,1504205.112,,1386234.701,,1268264.29,1268264.29,,,,,,,,,,
"ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET",,,,,,,,,,,36038864.01,36038864.01,36036972.286,,36035080.562,,36033188.838,,36031297.114,,36029405.39,36029405.39,34758475.652,,33487545.914,,32216616.176,,30945686.438,,29674756.7,29674756.7,30210248.5633333,,30745740.4266667,,31281232.29,,31816724.1533333,,32352216.0166667,,32887707.88,32887707.88,,,,
"FJ",,,,,,,,,,,,,,,,,,,,,,,,,,,238302.518,238302.518,206939.725833333,,175576.933666667,,144214.1415,,112851.349333333,,81488.5571666666,,50125.765,50125.765,,,,,,,,
"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84009.419,84009.419,,,,,,,,,,,,,,,,
"GD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE",,,,,,,,,,,,,217879.92,217879.92,793936.32,793936.32,599503.28,599503.28,765384.75,765384.75,784248.25,784248.25,764110.88,764110.88,618258.3,618258.3,676174.18,676174.18,652495.13,652495.13,648104.04,648104.04,610002.6,610002.6,647289,647289,615923.9,615923.9,617084.91,617084.91,803285.12,803285.12,719577.675,719577.675,634984.98,634984.98,,
"GH",,,,,7901394.637,7901394.637,7756063.24683333,,7610731.85666667,,7465400.4665,,7320069.07633333,,7174737.68616667,,7029406.296,7029406.296,6935089.261,,6840772.226,,6746455.191,,6652138.156,,6557821.121,,6463504.086,,6369187.051,,6274870.016,6274870.016,,,,,,,,,,,,,,
