"id","year","value"
"AF",2013,
"AG",2013,
"AL",2012,3.03
"AM",2012,15.5
"AO",2009,67.42
"AR",2011,2.9
"AZ",2008,2.38
"BA",2007,0.13
"BD",2010,76.54
"BF",2009,72.44
"BG",2011,3.92
"BI",2006,93.45
"BJ",2012,74.27
"BO",2012,12.72
"BR",2012,6.79
"BT",2012,15.15
"BW",2009,27.83
"BY",2009,0.03
"BZ",2013,
"CD",2006,95.15
"CF",2008,80.09
"CG",2011,57.25
"CI",2008,59.07
"CL",2011,1.86
"CM",2007,53.15
"CN",2011,18.61
"CO",2012,12
"CR",2012,3.11
"CU",2013,
"CV",2008,34.7
"CZ",2011,0.09
"DJ",2002,41.19
"DM",2013,
"DO",2012,8.76
"DZ",2013,
"EE",2011,1.39
"EG",2008,15.43
"ER",2013,
"ET",2011,72.2
"FJ",2009,22.9
"FM",2000,44.69
"GA",2005,20.88
"GD",2013,
"GE",2012,31.28
"GH",2006,51.84
"GM",2003,55.93
"GN",2012,72.65
"GQ",2013,
"GT",2011,29.79
"GW",2002,77.96
"GY",2013,
"HN",2011,29.2
"HR",2008,0.02
"HT",2001,77.51
"HU",2011,0.17
"ID",2011,43.33
"IN",2012,59.23915359
"IQ",2012,21.17
"IR",2005,8.03
"JM",2004,5.85
"JO",2010,1.17
"KE",2005,67.21
"KG",2011,21.06
"KH",2011,41.26
"KI",2013,
"KM",2004,64.98
"KN",2013,
"KZ",2010,0.8
"LA",2012,62.01
"LB",2013,
"LC",2013,
"LK",2010,23.85
"LR",2007,94.88
"LS",2010,73.39
"LT",2011,1.21
"LV",2011,2
"LY",2013,
"MA",2007,14.22
"MD",2011,2.75
"ME",2011,0.65
"MG",2010,95.13
"MH",2013,
"MK",2008,4.2
"ML",2010,78.78
"MM",2013,
"MN",2013,
"MR",2008,47.69
"MU",2012,1.85
"MV",2004,12.22
"MW",2010,88.14
"MX",2012,4.12
"MY",2009,2.27
"MZ",2009,82.49
"NA",2010,43.15
"NE",2011,76.14
"NG",2010,82.2
"NI",2009,20.77
"NP",2010,55.95
"PA",2012,8.87
"PE",2012,7.99
"PG",2013,
"PH",2012,41.72
"PK",2011,50.67
"PL",2011,0.11
"PS",2009,0.61
"PW",2013,
"PY",2012,7.69
"RO",2012,1.59
"RS",2010,0.47
"RU",2009,0.26
"RW",2011,82.28
"SB",2013,
"SC",2007,1.84
"SD",2009,44.14
"SI",2010,0.01
"SK",2011,0.49
"SL",2011,82.51
"SN",2011,60.31
"SO",2013,
"SR",2013,
"SS",2013,
"ST",2010,73.08
"SV",2012,8.75
"SY",2004,16.85
"SZ",2010,59.11
"TD",2011,60.54
"TG",2011,72.75
"TH",2010,3.5
"TJ",2009,27.36
"TL",2007,71.06
"TM",2013,
"TN",2010,4.46
"TO",2013,
"TR",2011,2.56
"TT",2013,
"TV",2013,
"TZ",2012,73
"UA",2010,0.03
"UG",2013,62.85
"UY",2012,1.34
"UZ",2013,
"VC",2013,
"VE",2006,12.91
"VN",2012,12.45
"VU",2013,
"WS",2013,
"XK",2013,
"YE",2005,37.28
"ZA",2011,26.19
"ZM",2010,86.56
"ZW",2013,
