"id","year","value"
"AD",2013,
"AE",2013,
"AF",2013,
"AG",2013,
"AL",2012,12887.733
"AM",2012,51958.918
"AO",2009,8208488.105
"AR",2011,574275.206
"AS",2013,
"AT",2004,27784.684
"AU",2003,270577.44
"AW",2013,
"AZ",2008,27166.54
"BA",2007,1547.466
"BB",2013,
"BD",2010,65361767.94
"BE",2000,51256.25
"BF",2009,6711222.328
"BG",2011,139618.232
"BH",2013,
"BI",2006,6540225.243
"BJ",2012,5187167.302
"BM",2013,
"BN",2013,
"BO",2012,837603.543
"BR",2012,7449600.713
"BS",2013,
"BT",2012,17655.364
"BW",2009,261724.982
"BY",2011,0
"BZ",1999,28310.106
"CA",2010,115617.932
"CD",2006,48764283.09
"CF",2008,2629502.1
"CG",2011,1386762.824
"CH",2004,49510.488
"CI",2008,6398319.418
"CL",2011,143660.127
"CM",2007,5272868.344
"CN",2011,84142538
"CO",2012,2685759.24
"CR",2012,64871.483
"CU",2013,
"CV",2008,66494.117
"CY",2013,
"CZ",2011,3148.826
"DE",2010,278041.562
"DJ",2002,140176.922
"DK",2010,37169.476
"DM",2013,
"DO",2012,231223.973
"DZ",1995,1870326.539
"EC",2012,611944.428
"EE",2011,13008.902
"EG",2008,1268264.29
"ER",2013,
"ES",2010,1089899.39
"ET",2011,32887707.88
"FI",2010,0
"FJ",2009,50125.765
"FM",2013,
"FO",2013,
"FR",2005,208481.612
"GA",2005,84009.419
"GB",2010,633940.287
"GD",2013,
"GE",2012,634984.98
"GH",2006,6274870.016
"GL",2013,
"GM",2003,453516.692
"GN",2012,4680135.275
"GQ",2013,
"GR",2010,152802.32
"GT",2011,2014801.186
"GU",2013,
"GW",2002,650785.161
"GY",1998,64164.762
"HK",2013,
"HN",2011,1281595.051
"HR",2008,0
"HT",2001,5381264.424
"HU",2011,4985.864
"ID",2011,39495865.52
"IE",2010,16416.558
"IL",2010,29732.04
"IM",2013,
"IN",2012,292222443.5
"IQ",2012,1273807.972
"IR",2005,1017209.568
"IS",2010,0
"IT",2010,800245.13
"JM",2004,6321.948
"JO",2010,4836.8
"JP",2008,446964.14
"KE",2005,15520265.9
"KG",2011,281796.06
"KH",2011,1467889.131
"KI",2013,
"KM",2004,269922.868
"KN",2013,
"KP",2013,
"KR",2013,
"KW",2013,
"KY",2013,
"KZ",2010,9792.949
"LA",2012,2011027.25
"LB",2013,
"LC",1995,30819.584
"LI",2013,
"LK",2010,848838.3
"LR",2007,2950273.454
"LS",2010,1129415.386
"LT",2011,25133.355
"LU",2013,
"LV",2011,22038.886
"LY",2013,
"MA",2007,788144.11
"MC",2013,
"MD",2011,8187.968
"ME",2011,1303.352
"MF",2013,
"MG",2010,18480425.7
"MH",2013,
"MK",2008,5876.553
"ML",2010,7078294.862
"MM",2013,
"MN",2013,
"MO",2013,
"MP",2013,
"MR",2008,801985.704
"MT",2013,
"MU",2012,5552.018
"MV",2004,4329.074
"MW",2010,10833881.59
"MX",2012,1244729.013
"MY",2009,0
"MZ",2009,14182478.28
"NA",2010,512928.832
"NC",2013,
"NE",2011,6738327.642
"NG",2010,99066735.93
"NI",2009,490480.297
"NL",2010,58153.879
"NO",2010,32757.988
"NP",2010,6373244.198
"NZ",2013,
"OM",2013,
"PA",2012,151711.012
"PE",2012,866647.42
"PF",2013,
"PG",1996,1732601.058
"PH",2012,18335602.45
"PK",2011,22443593.37
"PL",2011,0
"PR",2013,
"PS",2009,2961.774
"PT",2013,
"PW",2013,
"PY",2012,202627.038
"QA",2013,
"RO",2012,0
"RS",2010,3645.718
"RU",2009,42572.773
"RW",2011,7023147.313
"SA",2013,
"SB",2013,
"SC",2007,212.583
"SD",2009,6900929.244
"SE",2005,31603.502
"SG",2013,
"SI",2011,0
"SK",2011,16195.152
"SL",2011,3321627.553
"SM",2013,
"SN",2011,4540449.022
"SO",2013,
"SR",1999,71517.411
"SS",2013,
"ST",2010,77582.648
"SV",2012,159324.068
"SX",2013,
"SY",2004,302259.805
"SZ",2010,468907.164
"TC",2013,
"TD",2011,4411629.512
"TG",2011,3395370.678
"TH",2010,205847.18
"TJ",2009,481846.521
"TL",2007,354098.573
"TM",1998,1090911.723
"TN",2010,78063.34
"TO",2013,
"TR",2011,58446.91
"TT",1992,51479.418
"TV",2013,
"TZ",2012,20776094.92
"UA",2010,0
"UG",2013,14197299.35
"US",2010,5165749.127
"UY",2012,10525.284
"UZ",2013,
"VC",2013,
"VE",2006,1802755.477
"VI",2013,
"VN",2012,2166058.76
"VU",2013,
"WS",2013,
"XK",2013,
"YE",2005,1969658.846
"ZA",2011,4858798.226
"ZM",2010,9822863.252
"ZW",2013,
