"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AW",,,,,,,,
"AD",,,,,,,,
"AF",,,,9.4,,,,
"AO",,,,,5.4,,,
"AL",7.81,,,8.14,,,,
"AE",,,,,,,,
"AR",3.44,3.59,3.88,3.93,3.92,4.38,,
"AM",7.98,8.49,8.61,8.78,,8.82,,
"AS",,,,,,,,
"AG",,,,,,,,
"AU",,,,,,,,
"AT",,,,,,,,
"AZ",,,,7.99,,,,
"BI",,8.96,,,,,,
"BE",,,,,,,,
"BJ",,,,,,,,
"BF",,,,,6.72,,,
"BD",8.79,,,,,8.88,,
"BG",,,8.5,,,,,
"BH",,,,,,,,
"BS",,,,,,,,
"BA",,,6.65,,,,,
"BY",8.76,8.62,8.76,9.17,9.06,9.01,9.39,
"BZ",,,,,,,,
"BM",,,,,,,,
"BO",1.95,2.19,2.62,2.13,,,,
"BR",2.76,2.64,2.77,2.87,2.85,,,
"BB",,,,,,,,
"BN",,,,,,,,
"BT",,,6.64,,,,,6.75
"BW",,,,,,,,
"CF",,,,3.37,,,,
"CA",,,,,,,,
"CH",,,,,,,,
"CL",,4.22,,,4.26,,,
"CN",4.99,,,4.78,4.67,,,
"CI",,,,5.6,,,,
"CM",,,6.73,,,,,
"CG",4.96,,,,,,,
"CO",2.79,2.51,2.68,2.52,2.73,3,,
"KM",,,,,,,,
"CV",,,,,,,,
"CR",4.1,3.99,4.27,4.27,3.85,,,
"CU",,,,,,,,
"CW",,,,,,,,
"KY",,,,,,,,
"CY",,,,,,,,
"CZ",,,,,,,,
"DE",,,,,,,,
"DJ",,,,,,,,
"DM",,,,,,,,
"DK",,,,,,,,
"DO",3.82,3.97,4.41,4.5,4.49,4.67,,
"DZ",,,,,,,,
"EC",3.09,3.57,3.29,3.74,3.88,4.29,,
"EG",8.96,,,9.24,,,,
"ER",,,,,,,,
"ES",,,,,,,,
"EE",,,,,,,,
"ET",9.26,,,,,,7.96,
"FI",,,,,,,,
"FJ",,,,,6.2,,,
"FR",,,,,,,,
"FO",,,,,,,,
"FM",,,,,,,,
"GA",6.16,,,,,,,
"GB",,,,,,,,
"GE",5.38,5.53,6.02,5.32,5.4,5.03,,
"GH",,5.24,,,,,,
"GN",,,6.35,,,,,
"GM",,,,,,,,
"GW",,,,,,,,
"GQ",,,,,,,,
"GR",,,,,,,,
"GD",,,,,,,,
"GL",,,,,,,,
"GT",,3.08,,,,,,
"GU",,,,,,,,
"GY",,,,,,,,
"HK",,,,,,,,
"HN",1.86,2.11,2.82,1.51,2.02,,,
"HR",,,,8.05,,,,
"HT",,,,,,,,
"HU",,,8.4,,,,,
"ID",8.34,,,8.11,,7.63,7.272038382,
"IN",8.64,,,,,8.54,,
"IE",,,,,,,,
"IR",6.43,,,,,,,
"IQ",,,8.7,,,,,
"IS",,,,,,,,
"IL",,,,,,,,
"IT",,,,,,,,
"JM",,,,,,,,
"JO",,7.28,,8.09,,7.71,,
"JP",,,,,,,,
"KZ",,8.77,8.66,9.21,9.12,,,
"KE",4.84,,,,,,,
"KG",6,7.75,8.82,6.39,6.82,6.77,7.68,
"KH",,,6.57,7.54,7.93,,,
"KI",,,,,,,,
"KN",,,,,,,,
"KR",,,,,,,,
"XK",,,,,,,,
"KW",,,,,,,,
"LA",,,,7.64,,,,
"LB",,,,,,,,
"LR",,,6.44,,,,,
"LY",,,,,,,,
"LC",,,,,,,,
"LI",,,,,,,,
"LK",,,6.94,,,7.72,,
"LS",,,,,,,,
"LT",,,,6.62,,,,
"LU",,,,,,,,
"LV",,,6.72,6.61,6.98,,,
"MO",,,,,,,,
"MF",,,,,,,,
"MA",,,6.52,,,,,
"MC",,,,,,,,
"MD",7.01,6.9,7.12,7.23,7.29,7.8,,
"MG",6.15,,,,,5.41,,
"MV",,,,,,,,
"MX",3.68,4.8,,4.73,,4.93,,
"MH",,,,,,,,
"MK",5.83,5.3,,5.41,5.13,4.89,,
"ML",,6.52,,,,7.97,,
"MT",,,,,,,,
"MM",,,,,,,,
"ME",8.5,8.57,8.07,8.5,8.37,8.75,,
"MN",,,,7.1,,,,
"MP",,,,,,,,
"MZ",,,,5.23,,,,
"MR",,,,6.02,,,,
"MU",,,,,,,,
"MW",,,,,,5.64,,
"MY",,,4.69,,4.54,,,
"NA",,,,,,,,
"NC",,,,,,,,
"NE",5.85,,,8.09,,,,
"NG",,,,,,4.41,,
"NI",6.22,,,,,,,
"NL",,,,,,,,
"NO",,,,,,,,
"NP",,,,,,8.27,,
"NZ",,,,,,,,
"OM",,,,,,,,
"PK",9.16,9.01,,9.6,,,,
"PA",2.74,2.53,,,3.55,3.3,,
"PE",3.86,3.78,3.41,3.79,3.79,3.91,,
"PH",,5.6,,,5.98,,,
"PW",,,,,,,,
"PG",,,,,,,,
"PL",7.34,7.53,7.61,7.59,7.68,7.69,7.85,
"PR",,,,,,,,
"KP",,,,,,,,
"PT",,,,,,,,
"PY",3.42,3.04,3.26,3.65,3.34,3.26,,
"PF",,,,,,,,
"QA",,,3.9,,,,,
"RO",8.01,7.98,7.91,8.09,8.32,9.61,8.84,
"RU",6.52,5.67,5.66,6.04,6.46,,,
"RW",,4.6,,,,,5.16,
"SA",,,,,,,,
"SD",,,,,6.81,,,
"SN",6.22,,,,,,6.05,
"SG",,,,,,,,
"SB",,,,,,,,
"SL",,,,,,,7.81,
"SV",3,4.61,4.19,4.51,3.71,,,
"SM",,,,,,,,
"SO",,,,,,,,
"RS",7.45,8.42,8.56,9.05,8.86,8.36,,
"SS",,,,,,,,
"ST",,,,,,,,
"SR",,,,,,,,
"SK",8.85,9.64,9.68,9.94,10.12,,,
"SI",,,,,,,,
"SE",,,,,,,,
"SZ",,,,,,4.05,,
"SX",,,,,,,,
"SC",,,3.71,,,,,
"SY",,,,,,,,
"TC",,,,,,,,
"TD",,,,,,,,
"TG",,7.62,,,,,5.99,
"TH",,6.08,,6.6,6.67,6.76,,
"TJ",,,7.29,,8.29,,,
"TM",,,,,,,,
"TL",,,,,,,,
"TO",,,,,,,,
"TT",,,,,,,,
"TN",5.92,,,,,6.74,,
"TR",5.18,5.5,5.7,5.7,5.83,5.53,,
"TV",,,,,,,,
"TZ",,,6.8,,,,,
"UG",,6.08,,,5.84,,,
"UA",9.02,8.7,8.77,9.36,9.67,9.93,,
"UY",4.49,4.56,4.49,4.72,4.7,4.92,,
"US",,,,,,,,
"UZ",,,,,,,,
"VC",,,,,,,,
"VE",2.8,4.28,,,,,,
"VI",,,,,,,,
"VN",,7.16,,7.42,,,,
"VU",,,,,,,,
"PS",,,6.5,,7.44,,,
"WS",,,,,,,,
"YE",7.18,,,,,,,
"ZA",,2.45,,,2.7,,,
"CD",,5.47,,,,,,
"ZM",,3.57,,,,3.58,,
"ZW",,,,,,,,
