"id","entity-name","colour","detail","source-title","source-link"
"DZ","Algeria","Grey","No information",,
"AO","Angola","Orange","Partial","World Bank Project Document","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2013/09/11/000356161_20130911153455/Rendered/PDF/665980PAD0Ango000PUBLIC00Box379825B.pdf"
"BJ","Benin","Grey","No information",,
"BW","Botswana","Green","Functioning","SADC Peer Review Assessment Report","http://www.adeanet.org/portalv2/en/system/files/sadc_emis_norms_and_standards_peer_review_botswana.pdf"
"BF","Burkina Faso","Grey","No information",,
"BI","Burundi","Green","Functioning","Burundi UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Burundi_Annual_Report_2014.pdf"
"CM","Cameroon","Orange","Partial","World Bank Cameroon Economic Update","http://www.worldbank.org/content/dam/Worldbank/document/Africa/Cameroon/Report/cameroon-economic-update-vol7.pdf"
"CV","Cape Verde","Grey","No information",,
"CF","CAR","Orange","Partial","UNICEF Programme Report","http://www.educationandtransition.org/wp-content/uploads/2007/04/2011_CAR_EEPCT_report.pdf"
"TD","Chad","Green","Functioning","Chad UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Chad_Annual_Report_2014.pdf"
"KM","Comoros","Green","Functioning","Comoros UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Comoros_Annual_Report_2014.pdf"
"CG","Congo","Grey","No information",,
"CI","Cote d'Ivoire","Grey","No information",,
"DJ","Djibouti","Green","Functioning","USAID EQUIP2 Programme","http://www.equip123.net/webarticles/anmviewer.asp?a=666"
"CD","DRC","Orange","Partial","AfriMAP study and UNESCO report","http://www.afrimap.org/english/images/report/AfriMAP_DRC_Edn_full_EN.pdf and http://uil.unesco.org/home/news-target/adult-and-non-formal-education-in-the-democratic-republic-of-congos-education-management-information-system/85a181595078ce5f5c0d8657d012c539/"
"EG","Egypt","Green","Functioning","World Education Programme description and World Bank report","http://www.worlded.org/WEIInternet/international/project/display.cfm?ctid=na&cid=na&tid=40&id=172 and http://datatopics.worldbank.org/hnp/files/edstats/EGYesr02.pdf"
"GQ","Equatorial Guinea","Green","Functioning","fhi360 report","http://www.fhi360.org/projects/program-education-development-equatorial-guinea-prodege"
"ER","Eritrea","Green","Functioning","Ministry of Education Planning Document","http://planipolis.iiep.unesco.org/upload/Eritrea/Eritrea-Education-Sector-Development-Plan_2013-02.pdf"
"ET","Ethiopia","Green","Functioning","Ministry of Education Statistics","http://www.moe.gov.et/English/Information/Documents/Education%20Statistics%20Annual%20Abstract%202006E.C%20(2013-2014%20G.C).pdf"
"GA","Gabon","Grey","No information",,
"GM","Gambia","Green","Functioning","Gambia UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Gambia_Annual_Report_2014.pdf"
"GH","Ghana","Green","Functioning","Ghana Education Data","http://www.ghanaeducationdata.com/"
"GN","Guinea","Grey","No information",,
"GW","Guinea-Bissau","Grey","No information",,
"KE","Kenya","Green","Functioning",,
"LS","Lesotho","Green","Functioning","Lesotho UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Lesotho_Annual_Report_2014.pdf"
"LR","Liberia","Green","Functioning","Ministry of Education","http://www.moe.gov.lr/pages3.php?pgID=46"
"LY","Libya","Orange","Pilot","Libya UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Libya_Annual_Report_2014.pdf"
"MG","Madagascar","Green","Functioning","Madagascar UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Madagascar_Annual_Report_2014.pdf"
"MW","Malawi","Green","Functioning","UNESCO Data Quality Assessment Framework","http://www.poledakar.com/dqaf/images/5/58/EdDQAF-Malawi-2011-Report-Final.pdf"
"ML","Mali","Green","Functioning","fhi360 report","http://www.fhi360.org/sites/default/files/media/documents/EQUIP2%20LL%20EMIS%20AAR.pdf"
"MR","Mauritania","Orange","Partial","UNESCO Report","http://www.unesco.org/new/en/dakar/about-this-office/single-view/news/capacity_building_workshop_on_data_collection_on_tvet_in_mauritania/#.Vd8Qc_lVhBd"
"MU","Mauritius","Grey","No information",,
"MA","Morocco","Grey","No information",,
"MZ","Mozambique","Green","Functioning","ADEA EMIS Peer Review","http://www.adeanet.org/portalv2/en/system/files/mozambique_emis_peer_review_0.pdf"
"NA","Namibia","Green","Functioning","UNICEF Report and Namibia UNICEF UNICEF Annual Report 2014","http://www.unicef.org/namibia/UNICEF_2011_Ninnes_Trends_and_Gaps_final_combined.pdf and http://www.unicef.org/about/annualreport/files/Namibia_Annual_Report_2014.pdf"
"NE","Niger","Grey","No information",,
"NG","Nigeria","Green","Functioning","Nigeria Education Management Information System (NEMIS)","http://www.fmenemis.org/"
"RW","Rwanda","Orange","New system launched June 2015",,
"ST","Sao Tome & Principe","Green","Functioning","Ministry of Education","http://www.moeskn.org/index.php?option=com_content&view=article&id=92:education-management-information-service&catid=25:education-services&Itemid=101"
"SN","Senegal","Grey","No information",,
"SC","Seychelles","Green","Functioning","Ministry of Education Education for All 2015 report","http://unesdoc.unesco.org/images/0022/002299/229953e.pdf"
"SL","Sierra Leone","Green","Functioning","Sierra Leone UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Sierra_Leone_Annual_Report_2014.pdf"
"SO","Somalia","Orange","Partial","Government Document and Sierra Leone UNICEF Annual Report 2014","http://planipolis.iiep.unesco.org/upload/Somalia/Somalia-South-Central-Zone-Education-Sector-Plan_2013-08.pdf and http://www.unicef.org/about/annualreport/files/Somalia_Annual_Report_2014.pdf"
"ZA","South Africa","Green","Functioning","Ministry of Education","http://www.education.gov.za/EMIS/tabid/57/Default.aspx"
"SS","South Sudan","Green","Functioning","South Sudan EMIS website","http://www.southsudanemis.org/"
"SD","Sudan","Green","Functioning","Sudan UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Sudan_Annual_Report_2014.pdf"
"SZ","Swaziland","Green","Functioning","SADC Peer Review Assessment Report","http://www.adeanet.org/portalv2/en/system/files/sadc_emis_norms_and_standards_peer_review_report_swaziland.pdf"
"TZ","Tanzania","Green","Functioning",,
"TG","Togo","Grey","No information",,
"TN","Tunisia","Green","Functioning","Ministry of Education","http://www.education.gov.tn/index.php?id=548&lan=3#?"
"UG","Uganda","Green","Functioning","USAID EQUIP2 Programme","http://www.equip123.net/webarticles/anmviewer.asp?a=331&z=28"
"EH","Western Sahara","Grey","No information",,
"ZM","Zambia","Green","Functioning","fhi360 report and Zambia UNICEF Annual Report 2014","http://www.fhi360.org/sites/default/files/media/documents/EQUIP2%20LL%20EMIS%20AAR.pdf and http://www.unicef.org/about/annualreport/files/Zambia_Annual_Report_2014.pdf and http://www.equip123.net/webarticles/anmviewer.asp?a=367&z=28"
"ZW","Zimbabwe","Green","Functioning","Zimbabwe UNICEF Annual Report 2014","http://www.unicef.org/about/annualreport/files/Zimbabwe_Annual_Report_2014.pdf"
