id-from,id-to,region,year,value-1,value-2,value-3
adaptation-fund,BZ,North & Central America,2014,1120000,2139.172641,5.58
adaptation-fund,CR,North & Central America,2014,1620000,1864.084445,0.69
adaptation-fund,CU,North & Central America,2014,910000,,
adaptation-fund,IN,South & Central Asia,2014,540000,1057.367754,3.22
adaptation-fund,KE,Sub-Saharan Africa,2014,4960000,522.4070478,8.26
adaptation-fund,MM,South & Central Asia,2014,2460000,832.0768801,
adaptation-fund,SC,Sub-Saharan Africa,2014,1270000,8471.925914,0.43
adaptation-fund,UZ,South & Central Asia,2014,340000,1352.402668,6.36
afdb,BJ,Sub-Saharan Africa,2014,30000,389.5444168,17.24
afdb,BW,Sub-Saharan Africa,2014,820000,4621.146712,3.83
afdb,CD,Sub-Saharan Africa,2014,124280000,108.1632299,38.05
afdb,CF,Sub-Saharan Africa,2014,40000,42.10504943,47.3
afdb,CG,Sub-Saharan Africa,2014,20000,3606.243652,14.41
afdb,CI,Sub-Saharan Africa,2014,0,593.447647,8.88
afdb,CV,Sub-Saharan Africa,2014,190000,1652.206178,1.54
afdb,DJ,Sub-Saharan Africa,2014,60000,1007.06352,7.51
afdb,DZ,North of Sahara,2014,110000,4882.450902,
afdb,EG,North of Sahara,2014,1630000,2359.046971,
afdb,GA,Sub-Saharan Africa,2014,280000,6935.538255,1.48
afdb,GH,Sub-Saharan Africa,2014,20000,563.9305736,3.74
afdb,GM,Sub-Saharan Africa,2014,120000,318.6848547,17.39
afdb,GQ,Sub-Saharan Africa,2014,100000,11813.64919,
afdb,KE,Sub-Saharan Africa,2014,50000,522.4070478,8.26
afdb,MA,North of Sahara,2014,2830000,2083.556049,0.24
afdb,ML,Sub-Saharan Africa,2014,90000,350.2844727,16.67
afdb,MU,Sub-Saharan Africa,2014,590000,3890.826917,0.09
afdb,NA,Sub-Saharan Africa,2014,590000,2211.274238,5.14
afdb,NE,Sub-Saharan Africa,2014,10000,271.3522114,13.69
afdb,NG,Sub-Saharan Africa,2014,220000,537.2427466,19.6
afdb,RW,Sub-Saharan Africa,2014,40000,388.7083503,23.77
afdb,SC,Sub-Saharan Africa,2014,480000,8471.925914,0.43
afdb,SD,Sub-Saharan Africa,2014,100000,282.4759897,2.43
afdb,SN,Sub-Saharan Africa,2014,60000,557.9117363,12.48
afdb,SZ,Sub-Saharan Africa,2014,540000,2273.540502,16.01
afdb,TG,Sub-Saharan Africa,2014,0,334.1356456,21.5
afdb,TN,North of Sahara,2014,1650000,2460.673748,0.17
afdb,UG,Sub-Saharan Africa,2014,40000,232.2260669,10.3
afdb,ZA,Sub-Saharan Africa,2014,1060000,2780.813654,4.75
afdb,ZM,Sub-Saharan Africa,2014,40000,681.7323935,28.32
afdf,AO,Sub-Saharan Africa,2014,8240000,2683.789473,8.56
afdf,BF,Sub-Saharan Africa,2014,30480000,441.7313347,11.07
