id,year,direction,flow-type,flow-name,value
AE,2000,out,official,oda-out,934149302.1
AT,2000,out,official,oda-out,753946639.6
AU,2000,out,official,oda-out,2654314677
BE,2000,out,official,oda-out,1498666283
BG,2000,out,official,oda-out,
CA,2000,out,official,oda-out,3458655529
CH,2000,out,official,oda-out,1803741206
CY,2000,out,official,oda-out,
CZ,2000,out,official,oda-out,38518763.8
DE,2000,out,official,oda-out,9212242161
DK,2000,out,official,oda-out,3102659024
EE,2000,out,official,oda-out,1348544.073
ES,2000,out,official,oda-out,2624244138
FI,2000,out,official,oda-out,634094193.2
FR,2000,out,official,oda-out,8633170629
GB,2000,out,official,oda-out,6339240032
GR,2000,out,official,oda-out,416174209.2
HR,2000,out,official,oda-out,
HU,2000,out,official,oda-out,
IE,2000,out,official,oda-out,388771895.5
IL,2000,out,official,oda-out,216914223.2
IS,2000,out,official,oda-out,10436757.58
IT,2000,out,official,oda-out,2871595932
JP,2000,out,official,oda-out,18777202821
KR,2000,out,official,oda-out,305625630.2
KW,2000,out,official,oda-out,1069471808
LI,2000,out,official,oda-out,
LT,2000,out,official,oda-out,
LU,2000,out,official,oda-out,255187282.8
LV,2000,out,official,oda-out,
MT,2000,out,official,oda-out,
NL,2000,out,official,oda-out,5665622543
NO,2000,out,official,oda-out,3119238420
NZ,2000,out,official,oda-out,271035095.5
PL,2000,out,official,oda-out,53774012.81
PT,2000,out,official,oda-out,734962317.2
QA,2000,out,official,oda-out,
RO,2000,out,official,oda-out,
RU,2000,out,official,oda-out,
SA,2000,out,official,oda-out,868086913.9
SE,2000,out,official,oda-out,2964192741
SI,2000,out,official,oda-out,
SK,2000,out,official,oda-out,15745122.47
TW,2000,out,official,oda-out,
US,2000,out,official,oda-out,13928304324
AE,2001,out,official,oda-out,1158338776
AT,2001,out,official,oda-out,1106701424
AU,2001,out,official,oda-out,2544644327
BE,2001,out,official,oda-out,1589220207
BG,2001,out,official,oda-out,
CA,2001,out,official,oda-out,3121794371
CH,2001,out,official,oda-out,1820800421
CY,2001,out,official,oda-out,
CZ,2001,out,official,oda-out,59378265.85
DE,2001,out,official,oda-out,9468960173
DK,2001,out,official,oda-out,3116670622
EE,2001,out,official,oda-out,1231592.525
ES,2001,out,official,oda-out,3458889543
FI,2001,out,official,oda-out,666592418.1
FR,2001,out,official,oda-out,8905299077
GB,2001,out,official,oda-out,6746274178
GR,2001,out,official,oda-out,374712850.8
HR,2001,out,official,oda-out,
HU,2001,out,official,oda-out,
IE,2001,out,official,oda-out,462147069.5
IL,2001,out,official,oda-out,123860657.4
IS,2001,out,official,oda-out,13449689.04
IT,2001,out,official,oda-out,3258173976
JP,2001,out,official,oda-out,16590770786
KR,2001,out,official,oda-out,422690027.6
KW,2001,out,official,oda-out,1034533621
LI,2001,out,official,oda-out,
LT,2001,out,official,oda-out,3846537.242
LU,2001,out,official,oda-out,296637967.1
LV,2001,out,official,oda-out,
MT,2001,out,official,oda-out,
NL,2001,out,official,oda-out,5744209465
NO,2001,out,official,oda-out,3333924171
NZ,2001,out,official,oda-out,276766946.6
PL,2001,out,official,oda-out,60416290.15
PT,2001,out,official,oda-out,471356742
QA,2001,out,official,oda-out,
RO,2001,out,official,oda-out,
RU,2001,out,official,oda-out,
SA,2001,out,official,oda-out,1029733512
SE,2001,out,official,oda-out,3027212030
SI,2001,out,official,oda-out,
SK,2001,out,official,oda-out,22137832.28
TW,2001,out,official,oda-out,
US,2001,out,official,oda-out,15429439691
AE,2002,out,official,oda-out,1277930144
AT,2002,out,official,oda-out,848433216.9
AU,2002,out,official,oda-out,2660615552
