"id-from","entity-from-name","id-to","entity-to-name","year","sector","oof-bundle","channel","value"
"US","United States","AF","Afghanistan",2006,"agriculture-and-food-security","oof-loan","unspecified",664441
"US","United States","AF","Afghanistan",2006,"banking-and-business","oof-loan","unspecified",1822783
"US","United States","AF","Afghanistan",2006,"industry-and-trade","oof-loan","unspecified",7880268
"US","United States","AF","Afghanistan",2007,"banking-and-business","oof-loan","unspecified",203441
"US","United States","AF","Afghanistan",2007,"industry-and-trade","oof-loan","unspecified",3259065
"FR","France","AF","Afghanistan",2008,"banking-and-business","oof-loan","unspecified",8499938
"US","United States","AF","Afghanistan",2008,"agriculture-and-food-security","oof-loan","unspecified",2645260
"US","United States","AF","Afghanistan",2008,"banking-and-business","oof-loan","unspecified",1846391
"US","United States","AF","Afghanistan",2008,"other","oof-loan","unspecified",1957492
"AU","Australia","AF","Afghanistan",2009,"other-social-services","oof-grant","unspecified",5480732
"FR","France","AF","Afghanistan",2009,"banking-and-business","oof-loan","unspecified",3072679
"US","United States","AF","Afghanistan",2009,"infrastructure","oof-loan","unspecified",6195109
"US","United States","AF","Afghanistan",2009,"industry-and-trade","oof-loan","unspecified",20961449
"US","United States","AF","Afghanistan",2009,"banking-and-business","oof-loan","unspecified",3097554
"AU","Australia","AF","Afghanistan",2010,"other","oof-grant","unspecified",17642713
"US","United States","AF","Afghanistan",2010,"banking-and-business","oof-loan","unspecified",25656352
"US","United States","AF","Afghanistan",2010,"other","oof-loan","unspecified",42176068
"US","United States","AF","Afghanistan",2010,"industry-and-trade","oof-loan","unspecified",881840
"US","United States","AF","Afghanistan",2010,"agriculture-and-food-security","oof-loan","unspecified",726221
"AU","Australia","AF","Afghanistan",2011,"other","oof-grant","unspecified",16183614
"US","United States","AF","Afghanistan",2011,"banking-and-business","oof-loan","unspecified",6664470
"US","United States","AF","Afghanistan",2011,"industry-and-trade","oof-loan","unspecified",2456562
"US","United States","AF","Afghanistan",2011,"other","oof-loan","unspecified",15770883
"AU","Australia","AF","Afghanistan",2012,"other","oof-grant","unspecified",34842134
"US","United States","AF","Afghanistan",2012,"other","oof-loan","unspecified",8e+06
"US","United States","AF","Afghanistan",2012,"agriculture-and-food-security","oof-loan","unspecified",250000
"US","United States","AF","Afghanistan",2012,"banking-and-business","oof-loan","unspecified",6500000
"US","United States","AF","Afghanistan",2012,"industry-and-trade","oof-loan","unspecified",2510582
"AU","Australia","AF","Afghanistan",2013,"other","oof-grant","unspecified",8121379
"CA","Canada","AF","Afghanistan",2013,"governance-and-security","oof-grant","unspecified",64338
"CA","Canada","AF","Afghanistan",2013,"other","oof-grant","unspecified",2448337
"US","United States","AF","Afghanistan",2013,"agriculture-and-food-security","oof-loan","unspecified",4482962
"US","United States","AF","Afghanistan",2013,"other","oof-loan","unspecified",5686760
"US","United States","AF","Afghanistan",2013,"industry-and-trade","oof-loan","unspecified",165367
"US","United States","AF","Afghanistan",2013,"infrastructure","oof-loan","unspecified",4039592
"AU","Australia","africa","Africa, regional",2006,"other","oof-grant","unspecified",3338014
"BE","Belgium","africa","Africa, regional",2006,"other","oof-loan","unspecified",16173028
"FI","Finland","africa","Africa, regional",2006,"other","oof-loan","unspecified",2121493
"FR","France","africa","Africa, regional",2006,"other","oof-loan","unspecified",8753871
"NL","Netherlands","africa","Africa, regional",2006,"other","oof-loan","unspecified",49428058
"US","United States","africa","Africa, regional",2006,"other","oof-loan","unspecified",268563639
"AU","Australia","africa","Africa, regional",2007,"other","oof-grant","unspecified",6180937
"BE","Belgium","africa","Africa, regional",2007,"other","oof-loan","unspecified",3471740
"DE","Germany","africa","Africa, regional",2007,"other","oof-loan","unspecified",83320707
"FI","Finland","africa","Africa, regional",2007,"other","oof-loan","unspecified",6783301
"FR","France","africa","Africa, regional",2007,"other","oof-loan","unspecified",11026925
"GB","United Kingdom","africa","Africa, regional",2007,"other","oof-loan","unspecified",8442759
"KR","Korea","africa","Africa, regional",2007,"other","oof-loan","unspecified",3732899
"US","United States","africa","Africa, regional",2007,"other","oof-loan","unspecified",2556009
"AU","Australia","africa","Africa, regional",2008,"other","oof-grant","unspecified",4495027
"BE","Belgium","africa","Africa, regional",2008,"other","oof-loan","unspecified",33329518
"DE","Germany","africa","Africa, regional",2008,"other","oof-loan","unspecified",36180710
"DE","Germany","africa","Africa, regional",2008,"infrastructure","oof-loan","unspecified",86717032
"EU","European Union","africa","Africa, regional",2008,"other","oof-loan","unspecified",128833298
"FI","Finland","africa","Africa, regional",2008,"other","oof-loan","unspecified",6429335
"FR","France","africa","Africa, regional",2008,"other","oof-loan","unspecified",53909498
